연도,구명,일일인구,10대인구,20대인구,30대인구,40대인구,50대인구,60대이상인구,월요일인구,화요일인구,수요일인구,목요일인구,금요일인구,토요일인구,일요일인구,남성인구,여성인구
2019Y 3Q,서대문구,330735,43268,74521,52472,50237,42789,67418,48234,49071,49154,47961,47654,44763,43856,152942,177786
2019Y 3Q,서초구,514362,65559,92254,103675,90400,67164,95278,77523,79086,78815,75970,75881,65630,61416,250761,263595
2019Y 3Q,성동구,281445,36371,50702,50112,44389,40836,59004,41021,41488,41417,40620,40485,38488,37887,135140,146299
2019Y 3Q,성북구,411050,64609,80006,56261,58411,56421,95298,58566,58860,59114,58351,57785,58736,59595,188782,222259
2019Y 3Q,송파구,436575,64664,66229,80376,68528,63425,93315,62402,62897,63066,62168,61811,62279,61901,204035,232532
2019Y 3Q,양천구,346284,63401,41195,49093,55038,53707,83807,49229,49074,49187,49042,48642,49997,51067,163072,183207
2019Y 3Q,영등포구,449146,48464,71227,80144,72621,71214,105426,64568,64928,65147,63903,64178,62977,63391,220241,228898
2019Y 3Q,용산구,245358,27059,46028,49727,40549,31729,50224,35156,35236,35401,35020,35304,34712,34487,117519,127832
2019Y 3Q,은평구,447672,69787,59612,65697,68043,66754,117742,63052,63003,63316,63398,62896,65537,66426,202997,244666
2019Y 3Q,종로구,298010,26863,56351,49709,49636,47219,68200,43900,45262,45346,43783,44255,39724,35687,148730,149272
2019Y 3Q,중구,312961,24460,53317,61815,55688,49553,68088,47912,49409,48979,46949,47056,38107,34499,155582,157372
2019Y 3Q,중랑구,388510,56341,51333,57795,56304,64661,102042,55090,54891,54995,55031,54412,56322,57727,180839,207668
2019Y 4Q,강남구,903760,100726,178694,211087,168060,107834,137313,137030,139506,134076,135096,139667,115667,102663,439964,463784
2019Y 4Q,강동구,575327,88338,72161,88855,89863,91113,144955,81282,80776,81511,81180,81193,83886,85454,267199,308117
2019Y 4Q,강북구,393181,52214,58093,51813,57328,62436,111270,55501,55253,55807,55629,55571,57271,58113,179485,213689
2019Y 4Q,강서구,532367,89509,72138,93385,83006,73743,120549,75759,75392,75916,75406,74842,76630,78371,247451,284908
2019Y 4Q,관악구,713637,75085,177768,135010,96278,85459,143991,99600,99328,100997,100426,99604,105899,107722,350771,362857
2019Y 4Q,광진구,459409,60013,95987,77820,65545,65252,94762,64461,64244,65177,64865,64754,67738,68127,215351,244049
2019Y 4Q,구로구,327788,41933,44799,55738,54472,51013,79800,46922,46645,46576,46429,46283,46751,48144,159237,168542
2019Y 4Q,금천구,186497,19878,27228,33128,29749,31308,45190,26869,26680,26689,26555,26385,26383,26909,92439,94054
2019Y 4Q,노원구,172185,26474,29018,20901,23983,27216,44571,23707,23768,24252,24127,24402,26056,25842,79629,92549
2019Y 4Q,도봉구,195310,26489,25412,25511,28137,31689,58044,27680,27568,27606,27419,27256,28476,29270,89779,105526
2019Y 4Q,동대문구,477045,61466,89715,68814,67456,68378,121182,68269,68197,68482,68074,67813,68031,68138,229183,247854
2019Y 4Q,동작구,444319,59264,91652,73880,60818,57786,100878,63047,62905,63223,62925,62752,64833,64582,208864,235442
2019Y 4Q,마포구,539643,68744,129261,103577,84800,62655,90568,75529,76429,76831,76843,78619,79789,75559,245517,294117
2019Y 4Q,서대문구,339568,43905,79608,53795,51354,43789,67080,49315,50011,49705,49550,49587,46393,44968,156878,182685
2019Y 4Q,서초구,518393,64547,89251,105123,92663,69138,97636,77326,77951,75659,75991,78318,69987,63122,252428,265958
2019Y 4Q,성동구,299086,39352,54800,53162,46757,43149,61833,43419,43604,43263,43215,43570,41516,40465,143752,155329
2019Y 4Q,성북구,431515,68559,88869,58381,59940,58037,97682,61454,61450,61922,61509,60808,61865,62450,197378,234128
2019Y 4Q,송파구,446484,66463,66126,83017,71003,65300,94533,63403,63425,63653,63754,63999,64528,63675,208818,237662
2019Y 4Q,양천구,359909,67203,41440,50945,57306,55829,87143,51269,50806,51122,50886,50563,52024,53187,169643,190256
2019Y 4Q,영등포구,455512,49169,71595,81758,74139,72733,106074,65051,65012,64721,64673,65695,65338,64973,224127,231378
2019Y 4Q,용산구,260294,28397,49068,52600,43269,33990,52930,37019,37224,37127,37026,37697,37513,36645,123969,136319
2019Y 4Q,은평구,461116,72950,60666,68288,70586,68569,120019,64917,64680,65474,65171,64725,67336,68767,209310,251796
2019Y 4Q,종로구,311424,28680,59438,50650,51077,49434,72104,44744,46008,45938,46718,46957,43244,37768,154769,156646
2019Y 4Q,중구,324751,25966,54574,63013,57455,52592,71118,49378,50570,49011,49142,50375,40474,35756,160809,163933
2019Y 4Q,중랑구,400596,57988,52265,59786,58722,67041,104762,56967,56557,56868,56615,55916,57897,59736,186846,213745
2020Y 1Q,강남구,894955,103629,176870,207521,168352,106491,132046,134288,140203,137164,139338,136152,108595,99159,439216,455729
2020Y 1Q,강동구,585515,91911,75860,90152,91017,91347,145185,83148,82917,82966,82772,82799,84757,86107,273682,311824
2020Y 1Q,강북구,400108,52820,58917,52470,58699,63749,113422,56648,56390,56608,56347,56750,58403,58924,183722,216381
2020Y 1Q,강서구,538979,89062,75290,94688,83755,74099,122041,76455,76100,76419,76030,75989,78302,79641,250986,287984
2020Y 1Q,관악구,723690,75822,182475,137010,97671,86198,144465,101605,101372,101891,101329,101328,107187,108921,356833,366848
2020Y 1Q,광진구,460956,60731,94269,78613,66309,65905,95094,65203,64975,65174,64937,65213,67436,67972,216490,244460
2020Y 1Q,구로구,335238,44273,45848,56581,55366,52148,80984,47912,47674,47762,47624,47492,47860,48871,162990,172239
2020Y 1Q,금천구,192991,20947,29129,34396,30672,31967,45858,27700,27609,27594,27548,27480,27391,27642,96031,96957
2020Y 1Q,노원구,172806,27699,29282,20914,23879,26918,44085,24282,24121,24196,24148,24475,25788,25763,80304,92496
2020Y 1Q,도봉구,197519,27151,26015,25787,28342,31987,58210,27932,27727,27789,27656,27746,29084,29545,91747,105767
2020Y 1Q,동대문구,469707,60249,81291,70416,68666,68991,120058,67011,67171,67076,67022,66741,67213,67435,226292,243408
2020Y 1Q,동작구,441782,57819,88742,74558,61841,58495,100291,62547,62618,62572,62459,62463,64434,64646,207964,233810
2020Y 1Q,마포구,517651,66126,117559,100991,83250,61691,87994,73435,74350,74433,74811,75036,73955,71591,238594,279052
2020Y 1Q,서대문구,327677,40623,70924,54244,51520,44349,65990,47761,48603,48298,48406,47906,43819,42842,154024,173649
2020Y 1Q,서초구,503442,64648,87047,101706,90618,66850,92541,74909,77038,75738,76576,75238,63805,60098,245718,257719
2020Y 1Q,성동구,295782,38638,53687,53131,46774,42981,60537,42759,43336,43159,43316,42859,40510,39800,142941,152836
2020Y 1Q,성북구,419406,64346,80226,58806,60154,58434,97397,59481,59423,59522,59515,59368,60779,61265,193503,225894
2020Y 1Q,송파구,450230,67012,68330,84068,71601,65052,94130,64383,64688,64709,64600,64359,63933,63510,210719,239504
